"","T50","M50","rate","range","FC","cv.crit","degF","spar","pen.crit","lambda","anova.p","kw.p","SidakP.t0.5","SidakP.t1","SidakP.t3","SidakP.t10","anova.FDR","kw.FDR","scaled_T50","tp.designation"
"Alanine",4.32916848244083,1.26664029854319,0.432916848244083,1.25380545380798,1.56553608277833,6.01643992369803,2.0000004953083,1.49999995465401,145.254044052152,4095.99691016408,0.0000123013411241293,0.00108630058574516,0.699614892811577,0.910414206654899,0.0394071889097805,0.000253596536101224,0.0024356655425776,0.212914914806052,-0.846437152438489,"t3"
"ALCAR",3.02784409159247,0.938422247703627,0.302784409159247,0.00605176291187515,-0.0458260072928553,16.448528438877,2.00000053861941,1.49999995602869,397.114455856681,4095.99700383392,0.986228164857199,0.963989709957271,0.999690629822553,0.999575829946146,0.997449965712062,0.999508820487366,1,1,0.278260505048638,NA
"Allantoin",4.59938312162319,1.16071267367057,0.459938312162319,0.574083797599021,0.728655416474582,5.11004523357614,2.000000462395,1.49999995763003,123.3710876796,4095.99711294799,0.00000321806017884125,0.00140825279572648,0.999294295913497,0.978495169061125,0.108399496516543,0.0000109593387761285,0.000656484276483616,0.273201042370937,-1.07997597937849,"t10"
"Alpha-KMV",0.447918141730943,0.9314226368106,0.0447918141730943,-1.1006389250865,-1.95904083533559,7.56302789194278,3.82415365470438,0.493299828990236,157.870521725436,0.000218390223739741,0.00000000198605299031978,0.000129704232318893,0.000727559464588403,0.0000547570076236026,0.0000000145627923646869,9.14078681083728e-10,0.000000460764293754188,0.0304925281977381,2.50801712277243,"t0.5"
"alpha-Ketoglutarate",0.607740745309794,1.30655504484889,0.0607740745309794,-1.6345262506873,-2.1178928932472,10.6804038962354,3.0216265860623,0.551470295802328,237.989585598874,0.000574775862971401,0.0000522197434783979,0.00215129714891621,0.0370880351862411,0.00909539720621795,0.000127714752160435,0.0000190506582849513,0.00997397100437401,0.402292566847331,2.36988699232782,"t0.5"
"Alpha-KIC",0.447918141730943,0.9314226368106,0.0447918141730943,-1.1006389250865,-1.95904083533559,7.56302789194278,3.82415365470438,0.493299828990236,157.870521725436,0.000218390223739741,0.00000000198605299031978,0.000129704232318893,0.000727559464588403,0.0000547570076236026,0.0000000145627923646869,9.14078681083728e-10,0.000000460764293754188,0.0304925281977381,2.50801712277243,"t0.5"
"alpha-Ketoisovalerate (KIV)",0.102734914616464,1.099254523705,0.0102734914616464,-1.68746802303582,-2.92676637335943,5.89936314795827,4.2691650682753,0.453050998453813,118.651473637449,0.000111801251862876,7.52743395722912e-13,0.0000858035234805038,0.0000365092811231548,0.00000335528072805153,9.88101508767952e-12,5.88563095646438e-13,1.84422131952113e-10,0.0209360597292429,2.80634916793329,"t0.5"
"Aminoadipate",2.92004019610211,0.673251368888259,0.292004019610211,0.621227728410775,1.25667297722823,15.7258555446956,2.00000047485262,1.49999995550929,379.667069996648,4095.99696844246,0.0213819449257963,0.0207785315628677,0.0565953122553347,0.0865209716762544,0.00875997769720642,0.0401328331873712,1,1,0.371432345658613,"t3"
"Aminoisobutyric acid",2.31494021498065,0.946392830463457,0.231494021498065,-0.130948955959297,-0.0313040324345229,14.4461918924844,3.06717669496951,0.560116290355112,320.729026890781,0.000663687152924531,0.911980705092419,0.711401858238151,0.871929893984947,0.917025123880448,0.997062042833056,0.981865749792974,1,1,0.894403048504762,NA
"Aminolevulinic acid",3.35979162553545,0.954874415147642,0.335979162553545,0.0478439279094411,0.0188763168188378,16.1176158276115,2.29435209400128,0.686632397362398,380.364413362823,0.00544511236781247,0.671596588514315,0.682922380823671,0.915024509725014,0.965751328737093,0.974645065243452,0.996235220969697,1,1,-0.00863230696644652,NA
