"","T50","M50","rate","range","FC","GCV","degF","spar","pen.crit","lambda","scaled_T50"
"AMP",3.34891433963994,1.05754838853641,0.334891433963994,1.56870022008761,2.75317326318865,6.34459199997848,2.00000058579651,1.49999997276832,159.48990921675,4095.99814445729,-0.0378191290898567
"Anserine",3.00106413683439,1.12371106943928,0.300106413683439,0.457590486581503,0.595811430659067,2.45497500589143,18.2281307912012,-0.0775265450414506,11.3400945785452,1.64124165778046e-08,0.0379072656320213
"Anthranilic acid",3.6866060789909,1.54231505631625,0.36866060789909,0.0614596978435862,-0.244347650587785,14.7949670545295,3.56441734516896,0.511913681224635,344.643840822696,0.000297654917477048,-0.111334043677109
"Arachidic acid (Eicosanoic acid)",8.5596079592442,0.988929436161931,0.85596079592442,0.104151348464192,0.0660822888519822,1.94733739230655,27.9911606162765,-0.44992059622026,0.0683419335116469,3.34757118537944e-11,-1.17217822570796
"Arachidonate",2.8975605582687,0.912419382696859,0.28975605582687,0.0409175843437388,0.0552140022693189,15.6508700043427,2.00000037538221,1.49999995063321,409.00939181338,4095.99663619043,0.0604398178121746
"Arginine",3.55049492836264,0.922763850660418,0.355049492836264,0.208221774103729,0.326936295101922,14.3479608931474,2.00000053690893,1.499999966319,360.678037072856,4095.99770500604,-0.081702878780861
"Argininosuccinic acid",2.3011076505556,1.18934792828587,0.23011076505556,-0.962264239554367,-1.14623506447058,13.454435841222,2.00000064914142,1.49999997305333,338.216664021516,4095.99816387772,0.190286596564071
"Asparagine",1.38413245360878,1.08603314475923,0.138413245360878,0.391903429232492,0.526369989520995,3.46981185671001,27.0849900345795,-0.360177698670002,0.982799121500022,1.48969417094938e-10,0.389910529952962
"Aspartate",0.118178167797851,0.96794095162348,0.0118178167797851,-0.769493281834334,-1.21378013204258,0.135404534039672,27.9986232650132,-0.849979092459392,9.165916026177e-09,4.30942417509023e-14,0.665506614629567
"ATP",0.802515795466896,1.0452940872001,0.0802515795466896,-0.837207950442855,-1.22399096066463,5.15798060584329,3.72248259225634,0.493349734665894,113.645055019887,0.000218571608220233,0.516527482526346
"Azelaic acid",-1.72369203879998,0.618784416648506,-0.172369203879998,0.287720645557614,0.683314218200309,3.71176428080714,27.3071914630721,-0.47219105709561,0.897160376127658,2.31117046640695e-11,1.06647861109917
"beta-Alanine",-30.9517551826593,1.05951184200047,-3.09517551826593,0.449633327585973,0.621692920469903,8.93015062190506,24.4609377745254,-0.283522639881075,6.34443656015682,5.33222475483816e-10,7.4293780107156
"beta-Estradiol",4.06581840061949,0.858924035045706,0.406581840061949,0.244535730709842,0.0816762249358176,9.69540074723497,25.1807700244139,-0.23310298457314,4.87662530002734,1.23360560400251e-09,-0.193887918073151
"beta-Hydroxy beta-Methylbutyric acid (HMB)",1.43874209794306,1.03494502750029,0.143874209794306,0.0272289064901878,-0.00333736268605785,15.141538837188,5.58214459821425,0.316332027703408,286.329606882584,1.14998029390528e-05,0.378022103701876
"beta-Hydroxybutyrate (3-Hydroxybutyrate)",1.32364190136582,0.948510884934331,0.132364190136582,0.571134470775989,0.671868986788161,-37236.897291919,29.9999998827873,-1.49986821265162,-1.70530256582424e-11,8.69265386804611e-19,0.403079219806093
"Betaine",2.47011017554191,0.932996345158289,0.247011017554191,0.0779001635849923,0.120527308503668,15.6614131365606,3.12300901171985,0.561420400507247,346.15340853526,0.000678242877243744,0.15349503567698
"Butyryl-CoA",3.08164268264096,2.04901069263477,0.308164268264096,3.63239639647959,4.05330599424915,0.0712635715842432,16.5756740511857,-0.0262896977105153,0.37932831297266,3.84896889986871e-08,0.0203654539077548
"cAMP",3.34395070658539,1.07461709818549,0.334395070658539,0.066202530548636,0.0889063528058748,15.5931606365895,5.66775076100624,0.353711929828612,277.741677265068,2.14165603290095e-05,-0.0367385546560577
